,country,Latitude,Longitude,count_of_articles_nyt,count_of_articles_zeit,ids_of_articles_nyt,ids_of_articles_zeit
88,Ghana,8.0300284,-1.0800271,19.0,22.0,"['nyt://article/4bd6088c-f25a-5fa9-95f9-4119b51944f2', 'nyt://article/0f246c7f-0651-584f-8f4e-7c4d7a26675e', 'nyt://article/91385bd8-0b05-5232-86b3-21c5d9d10232', 'nyt://article/c60cea27-50f1-5032-bc09-94739c6c0f58', 'nyt://article/2cead087-fe59-5f15-98cc-49949e08256d', 'nyt://article/6fadd6f6-536f-538b-8c4e-08f001b3a2ce', 'nyt://article/42a46de1-94a2-586b-92d6-08326bd66f87', 'nyt://article/35f41ed6-604c-5dd8-8686-36dd68c92705', 'nyt://article/36d00fdc-0594-546c-b3ce-8df24839bb73', 'nyt://article/d12e3ef2-0583-585c-88a6-e57e084f643f', 'nyt://article/1c4174f9-c39c-58e8-be46-9619b749bc0c', 'nyt://article/63d78256-7141-57e3-a68b-d505a4f59337', 'nyt://interactive/68aeec1e-1a2a-55c6-b00b-e2f619621ce1', 'nyt://article/e0e4f865-cc61-512b-8aea-bedc8faf1f7c', 'nyt://article/8bc66f8a-1ca7-5b09-9623-bcfd31820b9b', 'nyt://article/9a788358-21bc-55c1-8dd1-6966b645aaac', 'nyt://article/d41f915b-24b5-50ab-8516-e339cc8cc3ed', 'nyt://article/1830fb00-46e3-57c8-824a-525c5e341765', 'nyt://article/1af67bb5-b8a4-5149-9e04-1f7ae4d2ffe6']","['8362705221', '8100646281', '8221823988', '8182398096', '8386266591', '8033733115', '8220586471', '8220102966', '7953531413', '8179814113', '8039725662', '7997140113', '8003477220', '8184119582', '7966460786', '8182356507', '8317911341', '8004025732', '8424032293', '8185056646', '7935772098', '8446285232']"
89,Gibraltar,,,0.0,4.0,[],"['8233878716', '8246441739', '8140586098', '8130395083']"
90,Greece,38.9953683,21.9877132,54.0,506.0,"['nyt://article/2c18bd85-86a4-581b-bb18-e96fb7e22450', 'nyt://article/b306686b-000e-5cc8-b0db-ca72a0190fd3', 'nyt://article/daf4a874-e174-57e6-b846-eacf49bfe304', 'nyt://article/8c6fca74-6689-59b2-b1d0-05e12ce38846', 'nyt://article/9ef08a5d-e672-5be0-b47b-af1cb7a77e1d', 'nyt://article/ba55f907-6300-54c6-ab71-7838386dca04', 'nyt://article/5e3b8101-5ddb-5ae2-906a-78476a0135fb', 'nyt://article/130bb94d-7790-547e-acaf-c388147698a7', 'nyt://article/251d9e43-8366-56fa-9ea0-b7816ff7adc7', 'nyt://article/4e5518cc-312c-5730-b4a7-479a2afee0f9', 'nyt://article/dd590380-ac56-5e5d-afe8-02ac47128291', 'nyt://article/dc1550d1-7942-5ff3-9b8b-7fc8602b13df', 'nyt://article/da9f021e-f2e4-54b3-9620-bb49408d1f37', 'nyt://article/e4c020a3-c6ec-5d95-bfcd-18f94bb15b2c', 'nyt://article/b1bd1cb5-4926-5754-b198-ca9ed4af8656', 'nyt://article/fa408956-7ff3-58dd-9ccd-e9a11287342d', 'nyt://article/e6cbaa74-df1d-5631-8529-99f7f49158ee', 'nyt://article/8e4793b5-29f7-55c5-835a-66e3a87fc75f', 'nyt://article/a5a62a0c-7a98-59c0-a078-da01684d742e', 'nyt://article/bc9e788a-1a1e-5309-985c-55544669d738', 'nyt://article/4a81a986-af5b-5ba3-af1d-27f8bff134a1', 'nyt://article/767bd463-8c30-5c80-b01e-433dd63b76ee', 'nyt://article/42d1992b-72ad-52db-a8a8-e22d9dc82ff8', 'nyt://article/64306d32-b253-5cd4-82c2-dcc4ff00b56a', 'nyt://article/0381ccbe-62f6-59df-b1b6-fbf039591843', 'nyt://article/66450571-ba79-53ec-809b-0328a3cd9712', 'nyt://interactive/d5d460ca-b437-599b-a886-ec5fc49a6fb0', 'nyt://article/9496d4ff-57cd-518a-93a5-3941c11151f0', 'nyt://article/c17ff100-26f0-5a94-bdfd-7bfd4242d6d1', 'nyt://article/39b2ad66-c0fe-5f60-9a48-9918327e8df9', 'nyt://video/3995a179-95d1-5233-87aa-c31c45acacdb', 'nyt://article/ff477a70-9a76-58cf-99a6-9ecfce6cd66e', 'nyt://article/8235fff6-2270-530b-8332-c84b21296e4f', 'nyt://article/daa3439b-f99f-56a1-b391-cafbd8da0602', 'nyt://article/e905429f-2e69-53b3-8e5d-53024fe1d9c5', 'nyt://article/7fc9f022-dd05-563c-9568-5b75d075611e', 'nyt://article/84939ce5-ddc5-5a6f-a06c-37ce914d4df0', 'nyt://article/def125a7-161b-57ef-bc51-dbb4b111c077', 'nyt://article/6191c4d5-b40c-5034-a59f-a506c1aa70f0', 'nyt://article/0a6ff681-2808-55ce-b1ee-6a816c1b88cc', 'nyt://article/24466d40-ef75-52c1-ac27-6eacd2f3cf26', 'nyt://article/2538c7cf-249b-5b87-ad28-320a9ecebbbd', 'nyt://article/422da971-a929-5776-8204-b03f56c1faa9', 'nyt://article/d2b0be2f-49f0-5181-9333-96d411d5bb49', 'nyt://article/58181993-74b2-5840-834e-b35665f7b2ca', 'nyt://article/da173fb1-9641-5128-b0e9-d8ed7f9e460d', 'nyt://article/33138b94-3be8-5ea4-bffc-bf46985ec121', 'nyt://article/a0eec7f0-3d63-5711-9700-9bce1b389aa9', 'nyt://article/d4de8af0-3559-5f9e-8597-31a812e5c980', 'nyt://article/a455eab1-9a83-5c5d-9bcc-3daadb76c5f8', 'nyt://article/0e00c5e2-50cc-5d63-a5df-1fa65bb785f6', 'nyt://article/480ee12a-86d9-560c-b6e2-1ce08a332be9', 'nyt://article/4dba904e-d7d9-57d9-a6ed-66eb6839a75f', 'nyt://article/dc9c142a-e59a-504f-ba02-4f8789cd0be4']","['8251079448', '8074577835', '8459015256', '8112630159', '8260445007', '8249892011', '8096993813', '8225112077', '8099690796', '7936315423', '8272786217', '8125232191', '8400105318', '8167097889', '8271305209', '8270744364', '2024-12-565625961', '7929549000', '8261590226', '8247519807', '8242823081', '8249030470', '8246749776', '8419673852', '8317016050', '7930273003', '2024-08-443752710', '8461720322', '8235016762', '8223791917', '8304536424', '8233536910', '8332640867', '8140158010', '8461877109', '8386291867', '8250454696', '7952287873', '8225112074', '8260096666', '8354907832', '8268477305', '8249349060', '8239479633', '8257740202', '7995366402', '8196736214', '8256584906', '8026887904', '8242059102', '8401322462', '8220420224', '8293239504', '8253594039', '8254481452', '8215690040', '8082274946', '8247308157', '8268910532', '8463589334', '8118683665', '8244127727', '8196609875', '8258659623', '8436012784', '8203293497', '7932072419', '8419006820', '8244092925', '8224748400', '8205753271', '8254283532', '8167307677', '8262092418', '8234459429', '8415565199', '7981990664', '8181568001', '8228775445', '8315286557', '8278560362', '8246318509', '8316863505', '8367323967', '8256225429', '8346817247', '8237794621', '8171366400', '8258566561', '8002162456', '7998529752', '7984862670', '8389551142', '8261270246', '8129279249', '7950372970', '8263645546', '8395612684', '8310365047', '8252818161', '8290670106', '8340918257', '8215126922', '8130727359', '8099123240', '8239079258', '8312477462', '8251182191', '8247124868', '8191155878', '8258489360', '8244632278', '8268594303', '7947034396', '8271319983', '8132201987', '8273168785', '8010395743', '8272103602', '8277635929', '8256970481', '8211327575', '8272857382', '8253066579', '8052623576', '8232213636', '7996416646', '8260658825', '8034237881', '8062325865', '8032142889', '8262440436', '8242875462', '8256539131', '8029582846', '8403866889', '7975730786', '8269850929', '8241027114', '8018544276', '8238348782', '8267448188', '8192990069', '8308805384', '2024-02-248037670', '8004074629', '8387780475', '8242838626', '8219835585', '8168148568', '8063521850', '8262366003', '8018585628', '8446793587', '8273891870', '7982784306', '8252388989', '7967471786', '8246473142', '8443750020', '8249008658', '2024-07-436808533', '8317682996', '8264524862', '8231214071', '8262802768', '7983137651', '8228397933', '8267415963', '8227209564', '8344541142', '8226561333', '8228877184', '8425679288', '7963151142', '8236161113', '8257265406', '8272152659', '8246568372', '8201685538', '2024-08-454211004', '8326410646', '8001431037', '8276031028', '8435054620', '8271287572', '8257846965', '8438962636', '2024-07-430355270', '8356255522', '8136843450', '8248516778', '8267305459', '2024-08-454848108', '8306255093', '8119100813', '8216365703', '8265717312', '8128367471', '8267846868', '8250261999', '8463707723', '8285087223', '2024-07-433670471', '8259966994', '2024-07-435924585', '8255985836', '8131673217', '8098649257', '8004319888', '8243515707', '8079250851', '8261074796', '8260714537', '8255542502', '8271213394', '8265793280', '8256648388', '8221785829', '8299197016', '8194857587', '8251653804', '8360516310', '8316734313', '8265888569', '7976470361', '8294131143', '8067863804', '8051528234', '8149469721', '8262229098', '8245083185', '8262989347', '8259096584', '7976061638', '7964179049', '8257620370', '8239981857', '8305845721', '8266541772', '8067256550', '8246589283', '8250568869', '8255357409', '8257656180', '8230153054', '8062408139', '8243187905', '2024-08-442472570', '8234187666', '8265811146', '8244218013', '8260191710', '8221832180', '8256015150', '8251026782', '8183673084', '8296357140', '8292705611', '8380576290', '7979525090', '8216475431', '8303577995', '8428263685', '8042037133', '8235821424', '8171133142', '8305641205', '8258749975', '8248996948', '8259864980', '8259347489', '7938577087', '8194034883', '8170399463', '8026783836', '8239399008', '8162146030', '8281642047', '8269997240', '8238957274', '8293352418', '8361675339', '8006004044', '8251996566', '7944401265', '7992551709', '8322012440', '8237552963', '8250999793', '2024-07-436368032', '8455654527', '8253025150', '8041125770', '8200264343', '8238957272', '8301465391', '8256952161', '8244741938', '8244379710', '8173500246', '8281221645', '8252464235', '8446863227', '8268990995', '8267205166', '8135485767', '8158956687', '8254157248', '2024-09-478045746', '8274696514', '8366379830', '8457348062', '8269444880', '8308068506', '8289851977', '8196693789', '2024-09-478315952', '8256073543', '8251382201', '8263646876', '8201761851', '8264951149', '8225189170', '8138395507', '8051595367', '2024-08-450899417', '8254437890', '8247463991', '8345465129', '8046147305', '8214161202', '8273929515', '8189925659', '8417829688', '7917966614', '8247519801', '8256165171', '8253698956', '7953564604', '8261365783', '8220751059', '8475249789', '8267491217', '8387490530', '8184610963', '7917465814', '8264172502', '8294663815', '8222728128', '7953025383', '8226369791', '8365910821', '8296664215', '8274505126', '8225776989', '8255773105', '8264897585', '8362263081', '8152351288', '8092526525', '8267729739', '8046600755', '7949399437', '8156603522', '8244504644', '8193115421', '8253088938', '8245823756', '8248847977', '8368374721', '8457534488', '8268602246', '7962502614', '8263792299', '8141962479', '8472785018', '8249946686', '8435629518', '8256970482', '8244504649', '8240881245', '8110671274', '8268630280', '8241525667', '8240466369', '8265548903', '8262802770', '8202195518', '8282912285', '8239896351', '2024-03-303459496', '8017922132', '8461414513', '8257833741', '8279072348', '8247655376', '8240114330', '8231042634', '8098951138', '8234982009', '8250589758', '8082669106', '8159076341', '8263792297', '8010340927', '8258448921', '8271790170', '8053474141', '8004103010', '8076147491', '8174458057', '8209070093', '8251618323', '8257829123', '8236054466', '8080554203', '8254508429', '8263358505', '8246694855', '8308094912', '8339631613', '8115801878', '8155341339', '8354922091', '8030507309', '8345905281', '8249419259', '8277872432', '8404236576', '8249481169', '8231547437', '8277863378', '2024-01-230165926', '8082606096', '8257647614', '8088977060', '8260381343', '8322178361', '2024-08-444207258', '8248630627', '8252365606', '8241628995', '8201500405', '8357310552', '8266905615', '8142915749', '8263784511', '2024-08-446634087', '8246236035', '8264885292', '8244625823', '8022460745', '7958073363', '8252908787', '8233618732', '8252258234', '8236378902', '8312111680', '8247311785', '8149650735', '8341044791', '8257959049', '8271052541', '8037068317', '8256225428', '8247488338', '7955049238', '8421804829', '8210905682', '8404465174', '8270796813', '8191994455', '8295368853', '8272647087', '8247725485', '8259755523', '7962626676', '8123836009', '8094629308', '8138498868', '8466404086', '8299572850', '8268220476', '8265050895', '2024-04-324453882', '8067213412', '8235064819', '8249244482', '8399853077', '8252728164', '2024-07-432294913', '8257708133', '8245847704', '8138989663', '8198481229', '8234437614', '8463589324', '8267274539', '8082032096', '8248636805', '8308009667', '8252737584', '8244360286', '8248334766', '8364494526']"
91,Greenland,43.0361995,-70.8328322,16.0,15.0,"['nyt://article/e95678c6-90d4-5cd8-a51d-8a8bcfc66be1', 'nyt://article/f5661108-5766-5bc7-825a-6dca7d07bca5', 'nyt://article/74422eb2-f3c6-5056-b6c3-c881fda6882d', 'nyt://article/edf41a98-dd65-57e8-a73f-7aecd981a3b3', 'nyt://article/b2b37b59-ed75-53c5-92cb-6577f841e0f6', 'nyt://article/5673ded7-857b-59ec-88a9-baa1961d7c40', 'nyt://article/7cc60643-d341-5903-88c1-f8efbaab1528', 'nyt://article/ed07e084-47d9-5fe2-95a0-de80ff67b7e8', 'nyt://interactive/7db7a662-415a-5f69-818a-b54b2c71472a', 'nyt://article/a1aaf672-6b8f-564a-9307-f193db180e94', 'nyt://article/cb034c16-17e9-56ac-b482-775269edbe3c', 'nyt://article/d1823118-7bb5-51e6-9444-d382f3868087', 'nyt://article/68d1776c-55f5-5a2b-8a24-3b69a36d0f7f', 'nyt://article/3b7883c9-8aa2-58ea-b78c-bfc99a59dc17', 'nyt://article/9301d724-6c26-573b-91f9-83f46a775961', 'nyt://article/e18725ad-c859-5aa3-8414-84df8e724302']","['8252521294', '8472674292', '8435213781', '7924712798', '8367368742', '8471830523', '8461589946', '8470527883', '8009277615', '7986895879', '2024-07-439375048', '8467000372', '8470215190', '8016850828', '8218697671']"
92,Grenada,12.1360374,-61.6904045,16.0,2.0,"['nyt://article/4b25076a-ff60-5fa7-a7c5-c9e29ea1cdcc', 'nyt://article/2794161a-68fa-50f9-af4b-781cf317f424', 'nyt://article/5d6f6b20-96af-5b7b-8083-d822afcd9b5e', 'nyt://article/027a5d25-116d-5e65-a25d-76708b380940', 'nyt://interactive/d5d460ca-b437-599b-a886-ec5fc49a6fb0', 'nyt://article/fb16872a-4129-596d-a415-d7871f61f954', 'nyt://article/36b2116a-0dba-59dc-ad3a-5943b6c930a3', 'nyt://article/caf98741-73b7-5dc0-bfc0-9314490fb22e', 'nyt://article/13242a65-a494-505a-b504-49c06a9d9166', 'nyt://article/dbca2c1e-0c60-5e8a-a032-6e29e8425c40', 'nyt://interactive/510b4cae-6367-5bd5-a1a7-4ebed8eab324', 'nyt://article/3fe933dc-e648-5e5a-8a53-5efaecec3d72', 'nyt://article/cde83fff-6b10-5e1f-ae26-4f7fda1d44e0', 'nyt://article/8714d5bf-0e91-516e-96ba-a616cf26e67f', 'nyt://article/7a3c5e64-4805-56b0-894c-a8e4134a2002', 'nyt://article/23a3e591-b32e-503f-acbd-15bdc09a2f19']","['8221211818', '8257859104']"
93,Guatemala,15.5855545,-90.345759,23.0,2.0,"['nyt://article/4bbbcba8-047f-58b7-a463-bf0ac97eb607', 'nyt://article/d2dc757d-7e20-56bb-9573-f5a25947af78', 'nyt://article/634f8a08-6e40-5375-8c5d-ec5b2293cc2b', 'nyt://article/833af882-ea3c-5f44-acb8-e270b1e24dd7', 'nyt://article/849d7787-3b13-58b9-8d19-b440fbf88acb', 'nyt://article/ca91199d-94ec-5536-af2b-754028b6173f', 'nyt://article/63d78256-7141-57e3-a68b-d505a4f59337', 'nyt://article/d3305a55-8470-5e49-a88b-9c4c503e259b', 'nyt://article/23e13f78-9bbe-5c67-b8e8-0798c121aec7', 'nyt://article/15fb240e-b771-54ab-a05a-b9bb5f0d6bbb', 'nyt://article/43df7f54-728e-5305-b9be-d7342cf88049', 'nyt://article/4ac88aa8-7b65-57c0-98bf-49bd54e305a4', 'nyt://article/60fbe398-7b09-5de6-9c5f-0fe35ebe1628', 'nyt://interactive/ab539ca2-720e-5006-97e9-de7b8b0e6c07', 'nyt://article/c2845922-ce3a-5bc6-b50b-2a894c8f2721', 'nyt://article/09fb06bb-0dfd-59c4-b6f0-33e7ae9ebfb4', 'nyt://article/93e8cac6-6c05-5c20-b379-10833d69f2f8', 'nyt://article/f3453ebd-dced-5d44-822c-428213779689', 'nyt://article/f455df42-01d2-59f6-b937-7b91770a9295', 'nyt://article/74b146ea-0feb-58b5-96ae-cdf5ae1c38a1', 'nyt://article/3ffbbb59-65c6-575c-a133-2f54fec537e6', 'nyt://article/3d8be307-c805-5c5a-949b-ed00f8860f36', 'nyt://article/3b02ec18-8ca4-5b25-8665-bbec9c4cb01f']","['8292064896', '8091929183']"
94,Guernsey,49.46229125,-2.5812022503294356,2.0,1.0,"['nyt://article/a45101d5-8059-57e9-bb93-b36f024c288d', 'nyt://article/e0a32882-ae72-5b3c-9429-b915be4f3af5']",['8229711636']
95,Guinea,10.7226226,-10.7083587,4.0,7.0,"['nyt://article/c63d024c-785e-5ac9-8760-4a0bcb65a557', 'nyt://video/36496248-8ee3-5ca6-8046-0c9fee970c89', 'nyt://article/1a95c31f-3495-5acc-8142-308607679a4f', 'nyt://article/f6923802-fb06-5bf1-8ead-a4e239606616']","['7921498075', '7923960860', '7964788480', '8005860876', '7926404774', '8438184364', '7962502615']"
96,Guinea-Bissau,11.815215,-15.2351044,1.0,0.0,['nyt://article/390b5845-2b82-5c90-8fc6-88842c34e004'],[]
97,Gulf of Aden,12.61473005,47.50633783193664,9.0,0.0,"['nyt://article/9a6d6061-31b3-5e0a-a9c9-9a63f5128c67', 'nyt://article/c901485b-79cd-5865-923b-3449ffc55165', 'nyt://article/c54fdc20-67de-5141-85cf-2eb90080ee60', 'nyt://article/efcafa4f-b0d5-558f-b993-f37e14cc0e58', 'nyt://article/e6ed5e1b-9db5-501a-bef6-43d1ae25b409', 'nyt://article/8235fff6-2270-530b-8332-c84b21296e4f', 'nyt://article/193bd420-6111-5784-8133-45636273ed2d', 'nyt://article/8c133900-a9c2-5b54-a2fe-63467588aa73', 'nyt://article/240e90be-4342-50ac-9c81-600351a6efc1']",[]
98,Gulf of Maine,43.219364,-68.3172072021616,1.0,0.0,['nyt://article/be8063c2-b2db-5478-aa06-0639fe50d8e3'],[]
99,Gulf of Mexico,25.2834459,-89.9066163,25.0,0.0,"['nyt://article/f5b306e0-91e3-5253-ac9a-7b463d17ee09', 'nyt://article/4a4213d4-8473-584f-ba8e-e5676dd968cd', 'nyt://article/14d72061-97e0-59c6-8d4e-36ad5fd14eb8', 'nyt://article/ab667a0d-a2e8-59ae-ac3c-ef6a611c2ba3', 'nyt://interactive/5c8ccada-edcd-5fe7-b2be-58bfeb68d4bd', 'nyt://article/4424ccc7-c639-554c-9d6b-39608df47976', 'nyt://article/517e4fbf-8c8d-5ca5-ac15-c5e861e267d5', 'nyt://article/9d95d718-70ae-5206-bdab-852b9a75e7fc', 'nyt://article/bd760b4d-72fb-55e2-9fac-08505e00866e', 'nyt://article/6ab6ace5-463f-5d78-8b74-76ba9c0c3f74', 'nyt://article/3fd91da7-b973-5d2a-977f-52b17603d110', 'nyt://article/605556aa-111e-5eed-99b4-5ab87c8e327b', 'nyt://article/be74adb5-7a7f-5ee8-a978-63e5c8744895', 'nyt://article/0b9efc58-568b-5432-91da-8257249426e7', 'nyt://article/c0f3bb31-eef6-502b-99e3-ab60aad7cae7', 'nyt://article/5c7ee8e1-58b7-5844-af01-d6bd669f0746', 'nyt://article/7d00cf62-1400-57c4-8fe2-b15b377e67f8', 'nyt://article/0d1efe4e-1e42-52cb-bd0f-485827bdb91a', 'nyt://interactive/0b6fd279-05e7-57c5-b523-2e70faf28acb', 'nyt://article/7d2a8300-b335-5c98-94d1-ebcbb0907ff9', 'nyt://article/fb5fc947-c40f-572f-859f-7dd6c67af148', 'nyt://article/09ac7b19-99b8-56a7-816d-75b9f95683b2', 'nyt://article/9623e034-47df-51b0-855b-a80982326cb9', 'nyt://interactive/907ec467-04fc-5b16-bd00-313af988eebe', 'nyt://article/23a3e591-b32e-503f-acbd-15bdc09a2f19']",[]
100,Gulf of Oman,24.213802899999997,58.9845822868196,3.0,0.0,"['nyt://article/5b7eb9da-dbdf-5423-9799-63efb0adf58c', 'nyt://article/2a0d8d46-562f-5d5d-880f-7ba51f529164', 'nyt://article/d7a4c61b-4a9a-56e8-ac7b-84c46114cec6']",[]
101,Gulf of Thailand,9.8762687,102.06908954680432,1.0,0.0,['nyt://interactive/7c53d0e8-f08c-5155-b878-6ae27aa87510'],[]
102,Guyana,4.8417097,-58.6416891,5.0,5.0,"['nyt://article/76d7d8fa-4d83-5190-8a0d-f7d69338e04d', 'nyt://article/6ae4a51a-b480-5b4e-aa01-9265f67a1201', 'nyt://article/bee58870-3185-5ca4-8c75-ba7cfb7a66fd', 'nyt://article/673a7abe-8a39-5962-97ee-2bed8e5d9fd8', 'nyt://article/5d6a0034-4abd-5df5-90a5-09a4dd0d77d6']","['8069774621', '8025928970', '8024062921', '8333705802', '7964043591']"
103,Haiti,19.1399952,-72.3570972,95.0,44.0,"['nyt://article/5db98543-7bbe-5313-af18-df992a4740a1', 'nyt://article/4bb3088c-e07b-5f61-adb1-b43e72148639', 'nyt://article/a9f80d3a-c9f8-5ded-b6d1-33778315320c', 'nyt://article/1b443c8b-1e79-5b05-8819-33b41ec3911d', 'nyt://article/c3b4d85c-753a-503f-a279-ada6b1dc76b4', 'nyt://article/6c4c2a12-6b25-5746-980c-a9b26de8b1e9', 'nyt://article/51a4b534-a284-5d05-b55e-ddf77a1b0cc5', 'nyt://article/72850829-9fb4-524a-a788-2aa441471125', 'nyt://article/117c5f51-7511-5418-bd90-c47bbd663b94', 'nyt://article/c43d562e-b7a6-53ef-9c8f-14269199bf2f', 'nyt://article/4c1032e4-e16a-5a56-81f7-cb52e104c878', 'nyt://article/3c94334f-d4f7-5f22-a7b7-2bd23ecc0067', 'nyt://article/d1419a30-053b-5555-94fb-389160098544', 'nyt://article/2c75f7fa-1584-5a38-94c4-3bab4eefb897', 'nyt://article/b1ef8771-4980-5797-b0c6-c7ce4e293f55', 'nyt://article/44f5fcf1-249a-5e5e-8829-78821d5d73ea', 'nyt://article/10c41464-045f-582d-b405-fbf61166da2b', 'nyt://article/cc0f2f80-49bf-5228-8c68-d58a80295945', 'nyt://article/3ebfe0d4-48f5-5cab-a8ca-68c736bfc325', 'nyt://article/aba81c19-cb05-5ffb-b54f-d40aac15e8b7', 'nyt://article/b1e6f358-69ad-540f-8c48-af2bf99d48df', 'nyt://article/5fd46911-bbaf-597a-8f05-30cff52b2ad3', 'nyt://article/1b852e0b-2d64-5b6b-9687-98315288c24d', 'nyt://article/457ced73-7e54-5709-89a7-168375459db8', 'nyt://article/0ffd3132-6423-5846-85dc-6922c078ffa0', 'nyt://article/12160214-20e4-5d80-a360-c39557b95885', 'nyt://article/49db34be-7cbe-5d6e-9b00-944438d403c4', 'nyt://article/2da2baa3-71cf-5d8d-bcf1-d92b4e21bd1b', 'nyt://article/4f326d04-2557-5194-9a1d-c66c5e3d87b5', 'nyt://article/10d105b6-0695-536d-b36b-0bfc1da6aa8c', 'nyt://article/6c513194-bcc0-5370-81de-7761752312eb', 'nyt://article/c25ace7a-f010-5aaf-bb1e-d23f777ba87c', 'nyt://article/6e7068a2-3f3b-50db-8cdb-6fed87bf2ed1', 'nyt://article/4ff27790-da56-565b-a68b-5046530d1e61', 'nyt://article/ee4c3288-a38b-51c7-a81b-208a72a4145c', 'nyt://article/38fd4d01-0d51-50dc-9c32-74b20456b41b', 'nyt://article/487a1b0b-b7db-5303-a637-999618b808aa', 'nyt://article/b49bb0ad-9159-5952-b4b2-072b7cb4a4f1', 'nyt://interactive/b9f9c273-99d2-5614-acdd-ff520e893d62', 'nyt://article/be4373da-0728-5cec-9338-3d5fb50615c5', 'nyt://article/275c0906-16ff-55f9-b66a-401509e1e846', 'nyt://article/f9653ea8-6b56-5052-9f57-871b8f2c295e', 'nyt://article/36de977d-8330-5428-865c-502db79f02e8', 'nyt://article/82a7bf25-4b20-5aa4-a980-9df729269325', 'nyt://article/36d8e0b5-de37-571f-aae2-fb68978b585e', 'nyt://article/ac5443eb-bc25-52e1-978d-9c872c795854', 'nyt://article/673a7abe-8a39-5962-97ee-2bed8e5d9fd8', 'nyt://article/e0490e74-5614-5f77-bd61-b3c6357d2529', 'nyt://article/8abf9203-ac80-5b70-bf6a-48b2343ee71c', 'nyt://article/d1b85a03-8e6b-5e63-86f5-1ed8e325df97', 'nyt://article/9b2ee998-f3a8-548f-b49a-ea4ba7c89122', 'nyt://article/19f90532-f2bd-5a00-9df4-72159380cc93', 'nyt://article/1c64014d-5f06-5221-b8ba-35b887df19f9', 'nyt://article/a1c21456-b31b-582c-8077-256962967e68', 'nyt://article/ca3f4371-f73a-5534-becb-724be8a86666', 'nyt://article/a194dc0e-eb32-5789-a57c-e01f3bf66afa', 'nyt://article/a08d7a48-720e-5716-b49a-bda4660f1f73', 'nyt://article/617a2879-1af7-5c30-a31e-9f434478a5d6', 'nyt://article/aca9da6a-4236-5789-a765-f6bf838f8b32', 'nyt://article/2012c63e-549d-5ea9-b566-bebed19eaddc', 'nyt://article/493bd36a-89c1-5725-b00c-f755a36bfda6', 'nyt://article/3b192e56-6b60-57de-a6ff-f9004dae7c3d', 'nyt://article/beb4f724-4ab3-5fd0-9851-b25a072e9764', 'nyt://article/af45c4da-ab6e-53f6-8cc3-80005560e5a5', 'nyt://article/cf4227d0-e159-54cf-85c7-11d1a773ddbf', 'nyt://article/582abb71-c763-5b13-9788-9ed5fcfca5b4', 'nyt://article/492d0259-6d08-5953-a4a4-1d43cea26e48', 'nyt://article/ca1be6e1-05e9-5736-b774-605982e8a3bd', 'nyt://article/163e6525-d0d7-5213-9068-cc0add3315ae', 'nyt://article/8de4a653-05a8-5b60-a41f-744d6ad625dd', 'nyt://article/a58fa33e-0f39-5a1c-b07d-6874f877eb9c', 'nyt://article/454672ea-f30f-52f1-881f-2e3d2d4eaec4', 'nyt://article/e0953cf9-9395-541f-a3e4-a34d9c91ddc1', 'nyt://article/768fd93c-2bd1-589e-905c-01fcc04cbf18', 'nyt://article/4614cd0f-0946-51c6-99e7-41346e141a29', 'nyt://article/bc5743a5-8af5-5dda-8825-ed85c71db350', 'nyt://article/71e66160-9eb4-58f4-81f6-4cd554eb21d8', 'nyt://article/562ba4a0-f20b-5438-8a98-44d7da855fad', 'nyt://article/44b758b8-c241-5cfc-bb56-0fe218a0a989', 'nyt://article/ffc4b0f5-12a9-5c39-b81f-6af3491c3383', 'nyt://article/7e152444-2e35-51f4-92d8-d3080e792fdf', 'nyt://article/19153d88-834f-5d12-a67b-1e963fedf9aa', 'nyt://article/a39c5191-5b19-5589-a36b-dd0b17845c4e', 'nyt://article/951307f2-e27f-5ec5-8eeb-b394ea4a19e4', 'nyt://article/bdaca004-f639-5fb4-803b-8c3d4ac2d2de', 'nyt://article/3c489b15-4e6a-5b33-a153-2eed5cd30deb', 'nyt://article/ca63f82e-f599-5e3e-9530-5bd3edc31ef7', 'nyt://article/9ef5330e-25af-5536-861d-151af266b830', 'nyt://article/b34eb6e1-4e47-55ab-a74d-d8b11a418c82', 'nyt://article/19c7927d-b645-5e5f-9faf-29fd7d83b95c', 'nyt://article/ac871db0-dd63-5575-bf07-2ea627694763', 'nyt://article/19802d79-566c-5bb0-bf4a-e3eef3fc86c3', 'nyt://article/83c82efa-9b0c-5e27-a9bd-88153a40dde7', 'nyt://article/5f70254b-3882-5283-8865-ff06552bcb3d', 'nyt://article/eb9d0d41-1750-539e-88ae-8154e0478553']","['8350029147', '8017904260', '8097538361', '8025133444', '8024062921', '8092314865', '8045539337', '8031727896', '8317783017', '8027651614', '8025096181', '8168796414', '8076946487', '8028797164', '8307617504', '8010076538', '8035697104', '8376225616', '8205400246', '8021787780', '8011942209', '8234169992', '7988204804', '8025928970', '8173303848', '8060170644', '8412253593', '7960780029', '8067913104', '8234231587', '8006803148', '8010493315', '8107585019', '8406853647', '8318965452', '8247583202', '8090739167', '7954266942', '8167381315', '8428981239', '2024-11-551016172', '8405270915', '8448696784', '8150644858']"
